_key,Cleaned Incident,Year,Cleaned Event,Location,Latitude,Longitude,Cleaned Impact,Cleaned Group,Cleaned Outcome
6,establishment of the delhi sultanate,1206,political,India,23.379379735000043,79.44332654800007,muslim rule established in parts of india,qutbunknownudunknowndin aibak,mixed
7,battle of panipat,1526,battle,India,23.379379735000043,79.44332654800007,foundation of the mughal empire in india,babur,mixed
8,establishment of british raj,1858,colonial,India,23.379379735000043,79.44332654800007,start of direct british governance in india,british east india companyempire,negative
9,partition of india,1947,partition,India,23.379379735000043,79.44332654800007,creation of india and pakistan massive population displacement and violence,"british empire, indian political leaders",negative
10,indounknownpakistani war of 1971,1971,war,India,23.379379735000043,79.44332654800007,led to the independence of bangladesh,"indian military, mukti bahini",negative
11,pokhranunknownii nuclear tests,1998,nuclear test,India,23.379379735000043,79.44332654800007,india declared itself a nuclear state,atal bihari vajpayee,mixed
12,mumbai terror attacks,2008,terrorism,India,23.379379735000043,79.44332654800007,highlighted the threat of international terrorism,lashkarunknowneunknowntaiba,negative
13,arrival of vasco da gama,1498,exploration,India,23.379379735000043,79.44332654800007,marked the beginning of european colonial interests in india,vasco da gama,negative
14,battle of plassey,1757,battle,India,23.379379735000043,79.44332654800007,foundation for the expansion of british rule in india,east india company,negative
15,first war of indian independence,1857,revolt,India,23.379379735000043,79.44332654800007,first largeunknownscale rebellion against british rule,"indian soldiers, british east india company",negative
16,swadeshi movement,1905,national movement,India,23.379379735000043,79.44332654800007,promoted indian goods protest against british economic policies,indian national congress,positive
17,green revolution,1960,agricultural revolution,India,23.379379735000043,79.44332654800007,dramatically increased agricultural production,"m.s. swaminathan, norman borlaug",positive
18,operation blue star,1984,military operation,India,23.379379735000043,79.44332654800007,removal of armed militants from golden temple but led to controversy,"indian government, sikh militants",negative
19,kargil war,1999,military conflict,India,23.379379735000043,79.44332654800007,india regained control of kargil heightened patriotism,"indian government, pakistani military",positive
20,right to information act enacted,2005,legislation,India,23.379379735000043,79.44332654800007,empowered citizens to seek information from public authorities,government of india,positive
